ID,departmentCode,departmentName,departmentType,status,plant_ID,createdAt,createdBy,modifiedAt,modifiedBy
31000001-0001-0001-0001-000000000001,IN-ORD-01,India Order Management,ORDER_DEALER,ACTIVE,30000001-0001-0001-0001-000000000001,2026-09-15T10:10:00Z,system,2026-09-15T10:10:00Z,system
31000001-0001-0001-0001-000000000002,IN-RET-01,India Returns Management,RETURN_DEALER,ACTIVE,30000001-0001-0001-0001-000000000001,2026-09-15T10:11:00Z,system,2026-09-15T10:11:00Z,system
31000001-0001-0001-0001-000000000003,TH-ORD-01,Thailand Order Management,ORDER_DEALER,ACTIVE,30000001-0001-0001-0001-000000000002,2026-09-15T10:12:00Z,system,2026-09-15T10:12:00Z,system
31000001-0001-0001-0001-000000000004,TH-RET-01,Thailand Returns Management,RETURN_DEALER,ACTIVE,30000001-0001-0001-0001-000000000002,2026-09-15T10:13:00Z,system,2026-09-15T10:13:00Z,system
31000001-0001-0001-0001-000000000005,BR-ORD-01,Brazil Order Management,ORDER_DEALER,ACTIVE,30000001-0001-0001-0001-000000000003,2026-09-15T10:14:00Z,system,2026-09-15T10:14:00Z,system
31000001-0001-0001-0001-000000000006,BR-RET-01,Brazil Returns Management,RETURN_DEALER,ACTIVE,30000001-0001-0001-0001-000000000003,2026-09-15T10:15:00Z,system,2026-09-15T10:15:00Z,system
31000001-0001-0001-0001-000000000007,AR-ORD-01,Argentina Order Management,ORDER_DEALER,ACTIVE,30000001-0001-0001-0001-000000000004,2026-09-15T10:16:00Z,system,2026-09-15T10:16:00Z,system
31000001-0001-0001-0001-000000000008,AR-RET-01,Argentina Returns Management,RETURN_DEALER,ACTIVE,30000001-0001-0001-0001-000000000004,2026-09-15T10:17:00Z,system,2026-09-15T10:17:00Z,system
31000001-0001-0001-0001-000000000009,CO-ORD-01,Colombia Order Management,ORDER_DEALER,ACTIVE,30000001-0001-0001-0001-000000000005,2026-09-15T10:18:00Z,system,2026-09-15T10:18:00Z,system
31000001-0001-0001-0001-000000000010,CO-RET-01,Colombia Returns Management,RETURN_DEALER,ACTIVE,30000001-0001-0001-0001-000000000005,2026-09-15T10:19:00Z,system,2026-09-15T10:19:00Z,system
31000001-0001-0001-0001-000000000011,ID-ORD-01,Indonesia Order Management,ORDER_DEALER,ACTIVE,30000001-0001-0001-0001-000000000006,2026-09-15T10:20:00Z,system,2026-09-15T10:20:00Z,system
31000001-0001-0001-0001-000000000012,ID-RET-01,Indonesia Returns Management,RETURN_DEALER,ACTIVE,30000001-0001-0001-0001-000000000006,2026-09-15T10:21:00Z,system,2026-09-15T10:21:00Z,system
31000001-0001-0001-0001-000000000013,UK-ORD-01,UK Order Management,ORDER_DEALER,ACTIVE,30000001-0001-0001-0001-000000000007,2026-09-15T10:22:00Z,system,2026-09-15T10:22:00Z,system
31000001-0001-0001-0001-000000000014,UK-RET-01,UK Returns Management,RETURN_DEALER,ACTIVE,30000001-0001-0001-0001-000000000007,2026-09-15T10:23:00Z,system,2026-09-15T10:23:00Z,system
31000001-0001-0001-0001-000000000015,AU-ORD-01,Australia Order Management,ORDER_DEALER,ACTIVE,30000001-0001-0001-0001-000000000008,2026-09-15T10:24:00Z,system,2026-09-15T10:24:00Z,system
31000001-0001-0001-0001-000000000016,AU-RET-01,Australia Returns Management,RETURN_DEALER,ACTIVE,30000001-0001-0001-0001-000000000008,2026-09-15T10:25:00Z,system,2026-09-15T10:25:00Z,system
