ID,salesOrderNo,orderDate,plant_ID,totalOrderPrice,currency,status,createdAt,createdBy,modifiedAt,modifiedBy
33000001-0001-0001-0001-000000000001,SO-IN-20260001,2026-09-01,30000001-0001-0001-0001-000000000001,825000.00,INR,CONFIRMED,2026-09-15T12:00:00Z,system,2026-09-15T12:00:00Z,system
33000001-0001-0001-0001-000000000002,SO-IN-20260002,2026-09-02,30000001-0001-0001-0001-000000000001,730000.00,INR,COMPLETED,2026-09-15T12:01:00Z,system,2026-09-15T12:01:00Z,system
33000001-0001-0001-0001-000000000003,SO-TH-20260001,2026-09-03,30000001-0001-0001-0001-000000000002,1050000.00,THB,IN_PROGRESS,2026-09-15T12:02:00Z,system,2026-09-15T12:02:00Z,system
33000001-0001-0001-0001-000000000004,SO-TH-20260002,2026-09-04,30000001-0001-0001-0001-000000000002,980000.00,THB,CONFIRMED,2026-09-15T12:03:00Z,system,2026-09-15T12:03:00Z,system
33000001-0001-0001-0001-000000000005,SO-BR-20260001,2026-09-05,30000001-0001-0001-0001-000000000003,48000.00,BRL,CONFIRMED,2026-09-15T12:04:00Z,system,2026-09-15T12:04:00Z,system
33000001-0001-0001-0001-000000000006,SO-BR-20260002,2026-09-06,30000001-0001-0001-0001-000000000003,52000.00,BRL,COMPLETED,2026-09-15T12:05:00Z,system,2026-09-15T12:05:00Z,system
33000001-0001-0001-0001-000000000007,SO-AR-20260001,2026-09-07,30000001-0001-0001-0001-000000000004,18500000.00,ARS,IN_PROGRESS,2026-09-15T12:06:00Z,system,2026-09-15T12:06:00Z,system
33000001-0001-0001-0001-000000000008,SO-AR-20260002,2026-09-08,30000001-0001-0001-0001-000000000004,21200000.00,ARS,CREATED,2026-09-15T12:07:00Z,system,2026-09-15T12:07:00Z,system
33000001-0001-0001-0001-000000000009,SO-CO-20260001,2026-09-09,30000001-0001-0001-0001-000000000005,985000000.00,COP,CONFIRMED,2026-09-15T12:08:00Z,system,2026-09-15T12:08:00Z,system
33000001-0001-0001-0001-000000000010,SO-CO-20260002,2026-09-10,30000001-0001-0001-0001-000000000005,1120000000.00,COP,IN_PROGRESS,2026-09-15T12:09:00Z,system,2026-09-15T12:09:00Z,system
33000001-0001-0001-0001-000000000011,SO-ID-20260001,2026-09-11,30000001-0001-0001-0001-000000000006,420000000.00,IDR,CONFIRMED,2026-09-15T12:10:00Z,system,2026-09-15T12:10:00Z,system
33000001-0001-0001-0001-000000000012,SO-ID-20260002,2026-09-12,30000001-0001-0001-0001-000000000006,510000000.00,IDR,COMPLETED,2026-09-15T12:11:00Z,system,2026-09-15T12:11:00Z,system
33000001-0001-0001-0001-000000000013,SO-UK-20260001,2026-09-13,30000001-0001-0001-0001-000000000007,18500.00,GBP,CONFIRMED,2026-09-15T12:12:00Z,system,2026-09-15T12:12:00Z,system
33000001-0001-0001-0001-000000000014,SO-UK-20260002,2026-09-14,30000001-0001-0001-0001-000000000007,22000.00,GBP,CREATED,2026-09-15T12:13:00Z,system,2026-09-15T12:13:00Z,system
33000001-0001-0001-0001-000000000015,SO-AU-20260001,2026-09-15,30000001-0001-0001-0001-000000000008,42000.00,AUD,IN_PROGRESS,2026-09-15T12:14:00Z,system,2026-09-15T12:14:00Z,system
33000001-0001-0001-0001-000000000016,SO-AU-20260002,2026-09-15,30000001-0001-0001-0001-000000000008,38500.00,AUD,CREATED,2026-09-15T12:15:00Z,system,2026-09-15T12:15:00Z,system
