ID,partNumber,partName,quantity,huContainer_ID,createdAt,createdBy,modifiedAt,modifiedBy
30000001-0001-0001-0001-000000000001,ENG-C350-001,Engine Assembly,1,20000001-0001-0001-0001-000000000001,2026-09-15T13:00:00Z,system,2026-09-15T13:00:00Z,system
30000001-0001-0001-0001-000000000002,ENG-C350-002,Cylinder Head,1,20000001-0001-0001-0001-000000000001,2026-09-15T13:00:01Z,system,2026-09-15T13:00:01Z,system
30000001-0001-0001-0001-000000000003,ENG-C350-003,Crankcase,1,20000001-0001-0001-0001-000000000001,2026-09-15T13:00:02Z,system,2026-09-15T13:00:02Z,system
30000001-0001-0001-0001-000000000004,ENG-C350-004,Piston Assembly,1,20000001-0001-0001-0001-000000000001,2026-09-15T13:00:03Z,system,2026-09-15T13:00:03Z,system
30000001-0001-0001-0001-000000000005,ENG-C350-005,Connecting Rod,1,20000001-0001-0001-0001-000000000001,2026-09-15T13:00:04Z,system,2026-09-15T13:00:04Z,system
30000001-0001-0001-0001-000000000006,ENG-C350-006,Clutch Assembly,1,20000001-0001-0001-0001-000000000001,2026-09-15T13:00:05Z,system,2026-09-15T13:00:05Z,system
30000001-0001-0001-0001-000000000007,ENG-C350-007,Gearbox Assembly,1,20000001-0001-0001-0001-000000000001,2026-09-15T13:00:06Z,system,2026-09-15T13:00:06Z,system
30000001-0001-0001-0001-000000000008,FUEL-C350-001,Fuel Tank,1,20000001-0001-0001-0001-000000000002,2026-09-15T13:01:00Z,system,2026-09-15T13:01:00Z,system
30000001-0001-0001-0001-000000000009,FUEL-C350-002,Fuel Pump,1,20000001-0001-0001-0001-000000000002,2026-09-15T13:01:01Z,system,2026-09-15T13:01:01Z,system
30000001-0001-0001-0001-000000000010,FUEL-C350-003,Fuel Injector,1,20000001-0001-0001-0001-000000000002,2026-09-15T13:01:02Z,system,2026-09-15T13:01:02Z,system
30000001-0001-0001-0001-000000000011,FUEL-C350-004,Throttle Body,1,20000001-0001-0001-0001-000000000002,2026-09-15T13:01:03Z,system,2026-09-15T13:01:03Z,system
30000001-0001-0001-0001-000000000012,FUEL-C350-005,Fuel Pipe,2,20000001-0001-0001-0001-000000000002,2026-09-15T13:01:04Z,system,2026-09-15T13:01:04Z,system
30000001-0001-0001-0001-000000000013,FUEL-C350-006,Fuel Filter,1,20000001-0001-0001-0001-000000000002,2026-09-15T13:01:05Z,system,2026-09-15T13:01:05Z,system
30000001-0001-0001-0001-000000000014,FUEL-C350-007,Fuel Tank Cap,1,20000001-0001-0001-0001-000000000002,2026-09-15T13:01:06Z,system,2026-09-15T13:01:06Z,system
30000001-0001-0001-0001-000000000015,ELE-C350-001,Main Wiring Harness,1,20000001-0001-0001-0001-000000000003,2026-09-15T13:02:00Z,system,2026-09-15T13:02:00Z,system
30000001-0001-0001-0001-000000000016,ELE-C350-002,Battery,1,20000001-0001-0001-0001-000000000003,2026-09-15T13:02:01Z,system,2026-09-15T13:02:01Z,system
30000001-0001-0001-0001-000000000017,ELE-C350-003,ECU,1,20000001-0001-0001-0001-000000000003,2026-09-15T13:02:02Z,system,2026-09-15T13:02:02Z,system
30000001-0001-0001-0001-000000000018,ELE-C350-004,Ignition Coil,1,20000001-0001-0001-0001-000000000003,2026-09-15T13:02:03Z,system,2026-09-15T13:02:03Z,system
30000001-0001-0001-0001-000000000019,ELE-C350-005,Starter Motor,1,20000001-0001-0001-0001-000000000003,2026-09-15T13:02:04Z,system,2026-09-15T13:02:04Z,system
30000001-0001-0001-0001-000000000020,ELE-C350-006,Headlamp Assembly,1,20000001-0001-0001-0001-000000000003,2026-09-15T13:02:05Z,system,2026-09-15T13:02:05Z,system
30000001-0001-0001-0001-000000000021,ELE-C350-007,Indicator Set,1,20000001-0001-0001-0001-000000000003,2026-09-15T13:02:06Z,system,2026-09-15T13:02:06Z,system
30000001-0001-0001-0001-000000000022,FRONT-C350-001,Front Fork Assembly,1,20000001-0001-0001-0001-000000000004,2026-09-15T10:22:00Z,system,2026-09-15T10:22:00Z,system
30000001-0001-0001-0001-000000000023,FRONT-C350-002,Handlebar,1,20000001-0001-0001-0001-000000000004,2026-09-15T10:23:00Z,system,2026-09-15T10:23:00Z,system
30000001-0001-0001-0001-000000000024,FRONT-C350-003,Front Wheel,1,20000001-0001-0001-0001-000000000004,2026-09-15T10:24:00Z,system,2026-09-15T10:24:00Z,system
30000001-0001-0001-0001-000000000025,FRONT-C350-004,Front Brake Disc,1,20000001-0001-0001-0001-000000000004,2026-09-15T10:25:00Z,system,2026-09-15T10:25:00Z,system
30000001-0001-0001-0001-000000000026,FRONT-C350-005,Front Brake Caliper,1,20000001-0001-0001-0001-000000000004,2026-09-15T10:26:00Z,system,2026-09-15T10:26:00Z,system
30000001-0001-0001-0001-000000000027,FRONT-C350-006,Headlight Bracket,1,20000001-0001-0001-0001-000000000004,2026-09-15T10:27:00Z,system,2026-09-15T10:27:00Z,system
30000001-0001-0001-0001-000000000028,FRONT-C350-007,Front Fender,1,20000001-0001-0001-0001-000000000004,2026-09-15T10:28:00Z,system,2026-09-15T10:28:00Z,system
